country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,23,,,,,28,,,,,29,,,,,36,,41,,42,,41
Angola,21,,,,,24,,,,,31,,,,,36,,40,,39,,37
Albania,43,,,,,52,,,,,57,,,,,61,,61,,64,,64
Andorra,67,,,,,71,,,,,74,,,,,75,,76,,78,,79
UAE,48,,,,,59,,,,,62,,,,,72,,73,,75,,82
Argentina,68,,,,,74,,,,,76,,,,,80,,79,,78,,79
Armenia,44,,,,,51,,,,,60,,,,,67,,69,,70,,68
Antigua and Barbuda,54,,,,,67,,,,,73,,,,,78,,77,,75,,76
Australia,81,,,,,83,,,,,84,,,,,87,,87,,87,,87
Austria,70,,,,,77,,,,,81,,,,,84,,84,,84,,85
Azerbaijan,42,,,,,38,,,,,51,,,,,62,,64,,67,,66
Burundi,19,,,,,24,,,,,33,,,,,40,,40,,42,,41
Belgium,77,,,,,81,,,,,83,,,,,86,,87,,87,,86
Benin,21,,,,,22,,,,,33,,,,,35,,34,,35,,38
Burkina Faso,15,,,,,21,,,,,30,,,,,35,,38,,38,,40
Bangladesh,23,,,,,27,,,,,37,,,,,45,,48,,50,,52
Bulgaria,56,,,,,61,,,,,65,,,,,70,,72,,76,,73
Bahrain,60,,,,,64,,,,,68,,,,,73,,74,,76,,76
Bahamas,54,,,,,71,,,,,73,,,,,77,,79,,79,,77
Bosnia and Herzegovina,44,,,,,61,,,,,62,,,,,68,,70,,67,,66
Belarus,53,,,,,59,,,,,70,,,,,76,,78,,81,,79
Belize,47,,,,,58,,,,,64,,,,,69,,68,,69,,68
Bolivia,37,,,,,39,,,,,47,,,,,60,,64,,65,,65
Brazil,68,,,,,73,,,,,76,,,,,82,,82,,81,,80
Barbados,54,,,,,72,,,,,75,,,,,80,,80,,79,,77
Brunei,49,,,,,64,,,,,70,,,,,75,,78,,77,,78
Bhutan,35,,,,,37,,,,,44,,,,,53,,56,,60,,60
Botswana,35,,,,,48,,,,,54,,,,,58,,58,,55,,55
Central African Republic,18,,,,,19,,,,,26,,,,,30,,30,,31,,32
Canada,74,,,,,79,,,,,83,,,,,90,,90,,91,,91
Switzerland,75,,,,,79,,,,,82,,,,,84,,86,,86,,86
Chile,65,,,,,74,,,,,77,,,,,79,,82,,82,,82
China,47,,,,,57,,,,,66,,,,,76,,79,,81,,81
Cote d'Ivoire,22,,,,,25,,,,,33,,,,,43,,44,,41,,43
Cameroon,22,,,,,28,,,,,33,,,,,42,,43,,43,,44
"Congo, Dem. Rep.",21,,,,,23,,,,,30,,,,,37,,40,,40,,42
"Congo, Rep.",21,,,,,25,,,,,30,,,,,38,,36,,39,,41
Colombia,52,,,,,63,,,,,68,,,,,78,,80,,80,,80
Comoros,26,,,,,32,,,,,39,,,,,44,,46,,46,,48
Cape Verde,43,,,,,54,,,,,63,,,,,68,,70,,69,,71
Costa Rica,66,,,,,70,,,,,75,,,,,77,,81,,82,,81
Cuba,56,,,,,71,,,,,78,,,,,84,,84,,83,,83
Cyprus,51,,,,,67,,,,,70,,,,,78,,81,,81,,81
Czech Republic,77,,,,,77,,,,,80,,,,,82,,84,,83,,84
Germany,79,,,,,83,,,,,85,,,,,88,,88,,88,,88
Djibouti,23,,,,,28,,,,,37,,,,,41,,45,,45,,44
Dominica,49,,,,,60,,,,,66,,,,,70,,70,,72,,49
Denmark,72,,,,,74,,,,,77,,,,,80,,81,,82,,82
Dominican Republic,51,,,,,57,,,,,70,,,,,75,,75,,75,,77
Algeria,56,,,,,61,,,,,67,,,,,74,,74,,74,,74
Ecuador,51,,,,,58,,,,,68,,,,,77,,78,,79,,77
Egypt,50,,,,,52,,,,,62,,,,,65,,69,,70,,70
Eritrea,26,,,,,32,,,,,40,,,,,45,,46,,46,,45
Spain,69,,,,,74,,,,,78,,,,,85,,86,,85,,85
Estonia,60,,,,,62,,,,,72,,,,,77,,78,,79,,79
Ethiopia,13,,,,,17,,,,,27,,,,,34,,35,,36,,35
Finland,75,,,,,81,,,,,84,,,,,86,,85,,85,,86
Fiji,42,,,,,50,,,,,52,,,,,60,,59,,59,,58
France,79,,,,,81,,,,,82,,,,,84,,85,,84,,85
"Micronesia, Fed. Sts.",36,,,,,39,,,,,47,,,,,46,,49,,46,,48
Gabon,28,,,,,37,,,,,45,,,,,50,,51,,49,,49
UK,72,,,,,79,,,,,83,,,,,85,,86,,87,,88
Georgia,47,,,,,61,,,,,69,,,,,71,,70,,69,,68
Ghana,24,,,,,26,,,,,35,,,,,44,,45,,46,,48
Guinea,16,,,,,19,,,,,26,,,,,33,,36,,39,,40
Gambia,29,,,,,36,,,,,41,,,,,43,,44,,46,,46
Guinea-Bissau,19,,,,,23,,,,,29,,,,,37,,38,,36,,37
Equatorial Guinea,20,,,,,23,,,,,29,,,,,41,,44,,44,,46
Greece,69,,,,,73,,,,,75,,,,,78,,79,,79,,77
Grenada,50,,,,,62,,,,,68,,,,,71,,73,,74,,70
Guatemala,40,,,,,50,,,,,58,,,,,60,,58,,61,,59
Guyana,45,,,,,59,,,,,65,,,,,75,,77,,77,,76
Honduras,42,,,,,52,,,,,58,,,,,65,,65,,66,,64
Croatia,71,,,,,74,,,,,77,,,,,78,,79,,80,,80
Haiti,27,,,,,33,,,,,42,,,,,51,,53,,53,,54
Hungary,70,,,,,72,,,,,73,,,,,78,,79,,79,,79
Indonesia,29,,,,,34,,,,,42,,,,,50,,54,,56,,55
India,30,,,,,34,,,,,49,,,,,57,,60,,64,,63
Ireland,72,,,,,76,,,,,77,,,,,82,,82,,82,,83
Iran,50,,,,,50,,,,,54,,,,,68,,72,,75,,74
Iraq,52,,,,,53,,,,,53,,,,,56,,57,,58,,59
Iceland,78,,,,,83,,,,,85,,,,,87,,87,,89,,89
Israel,72,,,,,76,,,,,79,,,,,82,,84,,85,,85
Italy,70,,,,,76,,,,,80,,,,,83,,84,,85,,84
Jamaica,48,,,,,59,,,,,66,,,,,74,,75,,77,,74
Jordan,65,,,,,68,,,,,72,,,,,70,,70,,67,,65
Japan,70,,,,,76,,,,,80,,,,,83,,84,,83,,83
Kazakhstan,56,,,,,64,,,,,70,,,,,77,,79,,82,,80
Kenya,28,,,,,34,,,,,44,,,,,50,,52,,51,,53
Kyrgyz Republic,51,,,,,55,,,,,59,,,,,69,,71,,71,,69
Cambodia,24,,,,,37,,,,,50,,,,,56,,60,,58,,58
Kiribati,28,,,,,32,,,,,41,,,,,45,,47,,48,,48
St. Kitts and Nevis,53,,,,,66,,,,,72,,,,,76,,76,,77,,79
South Korea,73,,,,,77,,,,,82,,,,,86,,88,,89,,89
Kuwait,74,,,,,76,,,,,74,,,,,77,,78,,77,,78
Lao,25,,,,,33,,,,,40,,,,,47,,51,,51,,52
Lebanon,54,,,,,63,,,,,67,,,,,71,,73,,74,,73
Liberia,20,,,,,23,,,,,33,,,,,37,,40,,43,,45
Libya,55,,,,,59,,,,,62,,,,,61,,66,,64,,62
St. Lucia,49,,,,,62,,,,,68,,,,,74,,74,,77,,77
Sri Lanka,44,,,,,48,,,,,55,,,,,61,,65,,66,,67
Lesotho,27,,,,,33,,,,,45,,,,,54,,56,,53,,53
Lithuania,51,,,,,57,,,,,63,,,,,70,,72,,75,,75
Luxembourg,74,,,,,75,,,,,77,,,,,84,,85,,86,,83
Latvia,52,,,,,58,,,,,65,,,,,70,,75,,76,,75
Morocco,41,,,,,51,,,,,58,,,,,65,,69,,68,,69
Monaco,73,,,,,78,,,,,80,,,,,84,,85,,86,,86
Moldova,51,,,,,54,,,,,63,,,,,70,,71,,72,,71
Madagascar,17,,,,,21,,,,,25,,,,,29,,30,,33,,35
Maldives,41,,,,,45,,,,,58,,,,,64,,71,,68,,61
Mexico,56,,,,,61,,,,,66,,,,,74,,74,,74,,75
Marshall Islands,42,,,,,46,,,,,57,,,,,60,,61,,61,,59
North Macedonia,58,,,,,58,,,,,64,,,,,73,,74,,74,,74
Mali,20,,,,,24,,,,,35,,,,,36,,38,,40,,41
Malta,75,,,,,77,,,,,79,,,,,85,,85,,83,,85
Myanmar,25,,,,,32,,,,,45,,,,,53,,54,,60,,52
Montenegro,60,,,,,64,,,,,67,,,,,69,,71,,72,,72
Mongolia,46,,,,,49,,,,,59,,,,,66,,67,,67,,65
Mozambique,20,,,,,23,,,,,31,,,,,40,,43,,43,,44
Mauritania,21,,,,,25,,,,,32,,,,,33,,39,,36,,40
Mauritius,49,,,,,53,,,,,59,,,,,67,,68,,68,,66
Malawi,22,,,,,28,,,,,38,,,,,42,,48,,48,,48
Malaysia,52,,,,,64,,,,,69,,,,,75,,77,,78,,76
Namibia,39,,,,,49,,,,,57,,,,,63,,63,,62,,63
Niger,15,,,,,19,,,,,30,,,,,32,,33,,34,,35
Nigeria,20,,,,,24,,,,,34,,,,,39,,39,,43,,38
Nicaragua,47,,,,,53,,,,,66,,,,,71,,73,,73,,70
Netherlands,75,,,,,78,,,,,80,,,,,84,,85,,85,,85
Norway,72,,,,,81,,,,,84,,,,,86,,86,,86,,87
Nepal,20,,,,,25,,,,,37,,,,,47,,45,,50,,54
Nauru,35,,,,,40,,,,,52,,,,,57,,59,,60,,60
New Zealand,75,,,,,80,,,,,82,,,,,85,,86,,85,,85
Oman,61,,,,,62,,,,,67,,,,,69,,69,,70,,70
Pakistan,22,,,,,28,,,,,33,,,,,40,,43,,44,,45
Panama,62,,,,,67,,,,,72,,,,,75,,77,,79,,78
Peru,48,,,,,59,,,,,70,,,,,76,,75,,75,,71
Philippines,36,,,,,38,,,,,48,,,,,57,,60,,60,,58
Palau,47,,,,,49,,,,,58,,,,,65,,67,,66,,65
Papua New Guinea,25,,,,,26,,,,,33,,,,,36,,33,,30,,30
Poland,66,,,,,71,,,,,75,,,,,80,,82,,82,,82
North Korea,46,,,,,49,,,,,53,,,,,43,,73,,72,,68
Portugal,74,,,,,80,,,,,84,,,,,87,,88,,87,,88
Paraguay,48,,,,,59,,,,,68,,,,,72,,73,,74,,72
Qatar,52,,,,,54,,,,,67,,,,,73,,72,,75,,76
Romania,69,,,,,72,,,,,74,,,,,78,,78,,79,,78
Russia,54,,,,,50,,,,,70,,,,,74,,77,,79,,79
Rwanda,19,,,,,26,,,,,39,,,,,44,,48,,47,,49
Saudi Arabia,65,,,,,67,,,,,69,,,,,71,,73,,72,,74
Sudan,25,,,,,27,,,,,36,,,,,43,,45,,45,,44
Senegal,21,,,,,25,,,,,37,,,,,45,,49,,51,,50
Singapore,64,,,,,70,,,,,82,,,,,87,,88,,88,,89
Solomon Islands,31,,,,,32,,,,,40,,,,,45,,47,,46,,47
Sierra Leone,14,,,,,16,,,,,27,,,,,35,,39,,38,,41
El Salvador,52,,,,,65,,,,,73,,,,,77,,78,,78,,78
San Marino,69,,,,,73,,,,,75,,,,,79,,81,,77,,77
Somalia,11,,,,,12,,,,,17,,,,,21,,25,,26,,27
Serbia,44,,,,,63,,,,,63,,,,,72,,73,,77,,72
South Sudan,18,,,,,19,,,,,23,,,,,27,,30,,31,,34
Sao Tome and Principe,33,,,,,37,,,,,47,,,,,52,,55,,60,,59
Suriname,45,,,,,58,,,,,65,,,,,71,,72,,72,,63
Slovak Republic,65,,,,,73,,,,,76,,,,,82,,84,,82,,82
Slovenia,73,,,,,74,,,,,77,,,,,81,,83,,85,,84
Sweden,72,,,,,76,,,,,81,,,,,84,,85,,85,,85
Eswatini,36,,,,,44,,,,,51,,,,,55,,60,,58,,56
Seychelles,44,,,,,48,,,,,59,,,,,73,,75,,74,,75
Syria,46,,,,,52,,,,,58,,,,,60,,62,,62,,64
Chad,15,,,,,16,,,,,22,,,,,27,,28,,27,,29
Togo,19,,,,,25,,,,,30,,,,,40,,43,,41,,44
Thailand,43,,,,,59,,,,,68,,,,,76,,81,,82,,82
Tajikistan,42,,,,,46,,,,,58,,,,,68,,69,,70,,67
Turkmenistan,54,,,,,62,,,,,68,,,,,72,,73,,74,,75
Timor-Leste,28,,,,,31,,,,,41,,,,,47,,50,,50,,52
Tonga,43,,,,,45,,,,,53,,,,,54,,56,,57,,57
Trinidad and Tobago,53,,,,,66,,,,,72,,,,,77,,77,,76,,75
Tunisia,44,,,,,58,,,,,61,,,,,63,,65,,68,,67
Turkey,57,,,,,64,,,,,66,,,,,76,,77,,77,,76
Tuvalu,37,,,,,40,,,,,49,,,,,52,,52,,52,,52
Tanzania,20,,,,,23,,,,,33,,,,,38,,40,,42,,43
Uganda,22,,,,,28,,,,,36,,,,,43,,46,,48,,49
Ukraine,53,,,,,54,,,,,65,,,,,69,,71,,77,,76
Uruguay,65,,,,,70,,,,,78,,,,,81,,82,,83,,82
USA,78,,,,,81,,,,,83,,,,,85,,86,,85,,86
Uzbekistan,55,,,,,56,,,,,68,,,,,73,,74,,75,,75
St. Vincent and the Grenadines,49,,,,,61,,,,,68,,,,,72,,76,,76,,69
Venezuela,49,,,,,60,,,,,67,,,,,77,,75,,74,,75
Vietnam,37,,,,,44,,,,,59,,,,,68,,70,,69,,68
Vanuatu,31,,,,,31,,,,,38,,,,,45,,44,,46,,47
Samoa,41,,,,,39,,,,,48,,,,,53,,54,,55,,55
Yemen,28,,,,,30,,,,,39,,,,,39,,41,,42,,42
South Africa,43,,,,,51,,,,,63,,,,,70,,71,,71,,71
Zambia,28,,,,,34,,,,,45,,,,,52,,53,,54,,56
Zimbabwe,30,,,,,31,,,,,46,,,,,56,,57,,55,,55
